x,y
210.45065102813427,205.77865674995198
213.47307851174816,208.60867326003944
216.5164520156157,211.3670072227446
219.57031598462694,214.08944017630236
222.62421486367202,216.81175365894785
225.66769309764084,219.5697292089161
228.6902951314234,222.399148364442
231.6854801736969,225.3221774568406
234.66268336390897,228.30541992397707
237.63541463960235,231.3013074114352
240.61422042406247,234.27370772206214
243.5974314356311,237.23362887978914
246.5802313143773,240.20422343612435
249.5594960185074,243.19772754517837
252.5391475506096,246.18092647166023
255.52494141975728,249.10877834778256
258.52039158147073,251.95002433784222
261.5195851884311,254.73136984158307
264.51413169609305,257.49475531010603
267.4997785675363,260.27434370112456
270.48985087027324,263.0712602068674
273.502340143173,265.87785921197667
276.5425745101507,268.68591872397417
279.5615479212953,271.4847440147894
282.4956848088027,274.2629773009861
285.29940371699274,277.0131511923988
288.0051081002196,279.7446587950428
290.66632286157113,282.47145971511384
293.3333391852455,285.2045747579039
296.04229082387457,287.9421595949808
298.82543863105866,290.67885051915283
301.68270656678584,293.4112193591278
304.4710347145914,296.1443967046386
307.0078561024726,298.8858779676308
309.1669706585132,301.64107592274837
311.07393670767834,304.40610126993244
312.92457199081264,307.1744687347965
314.87130357834724,309.9406952237348
316.87079198232004,312.70381939753054
318.82451679800454,315.4641544684256
320.67725483059485,318.22273136017816
322.57110046366137,320.98385123956325
324.7043230272306,323.75274628886774
327.21903758770014,326.53333321478874
329.9988632524815,329.3234732985397
332.8530909346602,332.1192866380529
335.6269267459916,334.9164368601957
338.33259582226344,337.70846594425416
341.0308281261475,340.48829971127014
343.7663911326949,343.2544123612766
346.5090591365634,346.0313365895804
349.2066098068841,348.85124843931453
351.81556330433386,351.7285931375454
354.33392839393986,354.5936949570599
356.77200447499274,357.3519580775465
359.1592708503444,359.9660453358937
361.61710993149404,362.67302797017464
364.2944009580541,365.79207847435214
367.236693954086,369.43682590837085
369.9893316091644,372.7258580731288
371.94650771861603,374.4770886776677
372.6657659306497,374.0108058554819
372.5035492338967,373.10410273103713
372.0601069340427,374.2838346907791
371.82283896453015,379.29430220980174
371.72144244360084,386.01355205755294
371.51372512107616,391.1280144480287
371.0705156013245,392.1965002934633
370.82680845287314,391.1322915043888
371.39320512799145,391.2040780289243
373.2391888801791,394.94621111254656
376.1226832796773,401.18957502493714
